County,Value
Anderson,34
Bedford,3
Benton,5
Bledsoe,2
Blount,29
Bradley,14
Campbell,5
Cannon,3
Carroll,2
Carter,16
Cheatham,24
Chester,1
Claiborne,2
Clay,2
Cocke,6
Coffee,12
Crockett,0
Cumberland,9
Davidson,184
DeKalb,7
Decatur,0
Dickson,6
Dyer,1
Fayette,3
Fentress,1
Franklin,3
Gibson,6
Giles,5
Grainger,1
Greene,17
Grundy,1
Hamblen,9
Hamilton,60
Hancock,3
Hardeman,4
Hardin,2
Hawkins,5
Haywood,0
Henderson,5
Henry,2
Hickman,3
Houston,1
Humphreys,4
Jackson,2
Jefferson,7
Johnson,1
Knox,196
Lake,0
Lauderdale,2
Lawrence,7
Lewis,2
Lincoln,4
Loudon,18
Macon,2
Madison,12
Marion,2
Marshall,6
Maury,12
McMinn,6
McNairy,3
Meigs,2
Monroe,5
Montgomery,22
Moore,1
Morgan,3
Obion,0
Overton,5
Perry,1
Pickett,1
Polk,2
Putnam,10
Rhea,4
Roane,16
Robertson,15
Rutherford,48
Scott,2
Sequatchie,3
Sevier,24
Shelby,159
Smith,2
Stewart,0
Sullivan,29
Sumner,28
Tipton,12
Trousdale,2
Unicoi,7
Union,4
Van Buren,0
Warren,1
Washington,24
Wayne,0
Weakley,1
White,0
Williamson,24
Wilson,26
